dc:source,spacy:ent.start_char,spacy:ent.end_char,spacy:ent.text,pnd:hasIdentifier,pnd:hasFamilyName,pnd:hasGivenNames,pnd:hasTitle;
Dokument 30,6276,6288,Fr.Albatros,name_0001,Albatros,,;
Dokument 28,425,440,F.Buess Sissach,name_0002,Buess,F.,;
Dokument 07,2115,2121,Chriet,name_0003,Christ,,;
Dokument 07,1991,1997,Christ,name_0003,Christ,,;
Dokument 07,2475,2481,Christ,name_0003,Christ,,;
Dokument 07,3601,3607,Christ,name_0003,Christ,,;
Dokument 08,1025,1031,Christ,name_0003,Christ,,;
Dokument 08,1341,1347,Christ,name_0003,Christ,,;
Dokument 08,1730,1736,Christ,name_0003,Christ,,;
Dokument 08,3054,3060,Christ,name_0003,Christ,,;
Dokument 08,654,660,Christ,name_0003,Christ,,;
Dokument 08,999,1019,Christ mit-geteilt;,name_0003,Christ,,
Dokument 03,1567,1586,Christ per-sönlich,name_0003,Christ,,;
Dokument 07,8323,8343,Christ stattgefanden,name_0003,Christ,,;
Dokument 07,3480,3500,Christ telerhenisch,name_0003,Christ,,;
Dokument 07,4607,4623,Christ von Ihnen,name_0003,Christ,,;
Dokument 07,2424,2436,Christ Xopie,name_0003,Christ,,;
Dokument 07,5255,5266,Christricht,name_0003,Christ,,;
Dokument 08,5777,5787,Christund,name_0003,Christ,,;
Dokument 07,1322,1334,Herrn Christ,name_0003,Christ,,;
"Dokument 19,415,442,""Herrn Christ, Vicepräsident"",name_0003,Christ,,";
Dokument 39,463,471,J.R.Frey,name_0004,Frey,J. R.,;
Dokument 36,204,227,Herrn JeanRichard Frey,name_0005,Frey,Jean Richard,;
Dokument 31,423,440,Jean Richard Frey,name_0005,Frey,Jean Richard,;
Dokument 32,705,722,Jean RichardFrey,name_0005,Frey,Jean Richard,;
Dokument 37,412,429,JeanRichard Frey,name_0005,Frey,Jean Richard,;
Dokument 37,639,668,Aus-führungen des Herrn Frey,name_0006,Frey,,;
Dokument 39,1034,1038,Frey,name_0006,Frey,,;
Dokument 40,1048,1057,Groschupf,name_0006,Frey,,;
Dokument 40,1844,1853,Herr Frey,name_0006,Frey,,;
Dokument 39,2118,2148,Herr Freydarüber Rechenschaft,name_0006,Frey,,;
Dokument 37,1526,1536,Herrn Frey,name_0006,Frey,,;
Dokument 40,1496,1506,Herrn Frey,name_0006,Frey,,;
Dokument 40,719,729,Herrn Frey,name_0006,Frey,,;
Dokument 41,256,266,Herrn Frey,name_0006,Frey,,;
Dokument 39,1364,1375,Herrn Frey.,name_0006,Frey,,;
Dokument 37,1668,1682,Herrn Freynie,name_0006,Frey,,;
Dokument 08,3295,3310,Herrn Groschupf,name_0007,Groschupf,,;
Dokument 08,964,979,Herrn Groschupf,name_0007,Groschupf,,;
Dokument 38,974,989,Herrn Groschupf,name_0007,Groschupf,,;
Dokument 40,2672,2687,Herrn Groschupf,name_0007,Groschupf,,;
Dokument 08,3457,3501,Herrn Groschupfund dem Linksunterzeichneten,name_0007,Groschupf,,;
Dokument 09,589,607,Herrn Groschupfzu,name_0007,Groschupf,,;
Dokument 30,12025,12029,Kehl,name_0008,Kehl,,;
Dokument 44,2245,2249,Kolk,name_0009,Kolk,,;
Dokument 07,1917,1937,Herrn Dr. KrastAupf,name_0010,Krast,,Dr.;
Dokument 07,1860,1885,BureauHerrn Dr. Krasting,name_0011,Krasting,,Dr.;
Dokument 07,5400,5418,Herrn Dr. Krasting,name_0011,Krasting,,Dr.;
Dokument 08,2566,2585,Herrn Dr. Krasting.,name_0011,Krasting,,Dr.;
Dokument 07,4240,4257,Horr Dr. Krasting,name_0011,Krasting,,Dr.;
Dokument 58,624,633,F.Mangold,name_0012,Mangold,F.,;
"Dokument 29,176,249,""Max Oettinger, Verkehrsbureau,Bankverbindung: Schweizerischer Bankverein"",name_0013,Oettinger,Max,";
Dokument 12,402,424,Herr Oettingerbereits,name_0014,Oettinger,,;
Dokument 13,405,420,Herrn Oettinger,name_0014,Oettinger,,;
Dokument 09,1425,1434,Oettinger,name_0014,Oettinger,,;
Dokument 19,453,462,Oettinger,name_0014,Oettinger,,;
Dokument 23,2031,2040,Oettinger,name_0014,Oettinger,,;
Dokument 23,490,499,Oettinger,name_0014,Oettinger,,;
Dokument 07,7085,7098,Herrn Reisenn,name_0015,Riesen,,;
Dokument 65,74,126,Fritz RitterBasler Rheinschiffahrt A.-G.-18Basel,name_0016,Ritter,Franz,;
Dokument 58,248,254,Ritter,name_0017,Ritter,,;
Dokument 46,535,544,Rupprecht,name_0018,Rupprecht,,;
Dokument 01,2913,2926,Herrn Ryniker,name_0019,Ryniker,,;
Dokument 01,3073,3086,Herrn Ryniker,name_0019,Ryniker,,;
"Dokument 62,753,780,""Herrn Ryniker geantwortet,"",name_0019,Ryniker,,";
Dokument 07,1190,1203,Horrn Ryniker,name_0019,Ryniker,,;
Dokument 13,650,665,Ryniker ausge-,name_0019,Ryniker,,;
Dokument 37,0,36,37den 24. Mai8.Herrn Dr.R. Speich,name_0020,Speich,R.,Dr.;
Dokument 37,91,139,BankvereinBase lSehr geehrter Herr Dr. Speich.,name_0021,Speich,,Dr.;
Dokument 42,190,206,Herrn Dr. Speich,name_0021,Speich,,Dr.;
Dokument 38,1095,1116,Herrn Dr. Speichbei.,name_0021,Speich,,Dr.;
Dokument 52,3386,3398,Spillmannzu,name_0022,Spillmann,,;
Dokument 33,82,96,W. Stauffacher,name_0023,Stauffacher,W.,;
Dokument 41,30,54,W. StauffacherPräsident,name_0023,Stauffacher,W.,;
Dokument 38,40,68,Werner StauffacherPräsident,name_0024,Stauffacher,Werner,;
Dokument 12,2777,2796,WernerStauffacher.,name_0024,Stauffacher,Werner,;
"Dokument 07,352,375,""Herrn Dr. Max Vischer,"",name_0025,Vischer,Max,Dr.";
Dokument 01,2957,2968,Max Vischer,name_0026,Vischer,Max,;
Dokument 12,2250,2261,Max Vischer,name_0026,Vischer,Max,;
Dokument 67,221,233,Max Vischer,name_0026,Vischer,Max,;
"Dokument 57,219,239,""Max Vischer, Advokat"",name_0026,Vischer,Max,";
"Dokument 57,1373,1400,""Max Vischer, AdvokatBasel."",name_0026,Vischer,Max,";
"Dokument 52,218,238,""Max Vischer,Advokat"",name_0026,Vischer,Max,";
"Dokument 55,255,293,""Max Vischer,AdvokatTELEGRAMM-ADRESSE:"",name_0026,Vischer,Max,";
"Dokument 31,175,230,""Max Vischer,Bankverbindung: Schweizerischer Bankverein"",name_0026,Vischer,Max,";
"Dokument 52,1531,1557,""Max Vischer,dieses Bootes"",name_0026,Vischer,Max,";
"Dokument 40,184,202,""Max Vischer,idoen"",name_0026,Vischer,Max,";
"Dokument 12,106,132,""Max Vischer,R/MPräsident"",name_0026,Vischer,Max,";
"Dokument 52,3316,3333,""Max Vischer,über"",name_0026,Vischer,Max,";
Dokument 42,51,63,Max Vischer.,name_0026,Vischer,Max,;
Dokument 39,83,110,Max VischerSt. Albangraben,name_0026,Vischer,Max,;
"Dokument 45,601,638,""r. Max Vischer,Advokat & NotarBasel."",name_0026,Vischer,Max,";
"Dokument 01,3047,3069,""Herrn Dr. Vischer,den"",name_0027,Vischer,,Dr.";
Dokument 66,4074,4086,Herrn Wacker,name_0028,Wacker,,;
Dokument 66,735,747,Herrn Wacker,name_0028,Wacker,,;
Dokument 65,575,581,Wacker,name_0028,Wacker,,;
Dokument 10,441,449,Wylemann,name_0029,Wylemann,,;
